ArraySize,Run,Kth,EmpiricalComparisons,ExpectedComparisons,RunningTime(us)
10000,57,First,12601,20000,858
10000,57,25%,8720,20000,1308
10000,57,Median,13224,20000,1140
10000,58,First,11899,20000,966
10000,58,25%,8726,20000,2019
10000,58,Median,14294,20000,1166
10000,59,First,11649,20000,810
10000,59,25%,9624,20000,1220
10000,59,Median,13852,20000,1156
10000,60,First,12111,20000,837
10000,60,25%,9313,20000,1202
10000,60,Median,14167,20000,1213
10000,61,First,12019,20000,835
10000,61,25%,8369,20000,1255
10000,61,Median,14045,20000,1277
10000,62,First,12059,20000,834
10000,62,25%,9111,20000,1188
10000,62,Median,14361,20000,1189
10000,63,First,11929,20000,829
10000,63,25%,8674,20000,1180
10000,63,Median,13637,20000,1178
10000,64,First,12269,20000,840
10000,64,25%,8817,20000,1201
10000,64,Median,14458,20000,1192
10000,65,First,11727,20000,934
10000,65,25%,9824,20000,1370
10000,65,Median,13558,20000,1288
10000,66,First,12407,20000,942
10000,66,25%,9285,20000,1325
10000,66,Median,13218,20000,1285
10000,67,First,12191,20000,950
10000,67,25%,8980,20000,1476
10000,67,Median,14810,20000,1315
10000,68,First,11883,20000,946
10000,68,25%,8865,20000,1385
10000,68,Median,14449,20000,1337
10000,69,First,11861,20000,846
10000,69,25%,9366,20000,1177
10000,69,Median,14214,20000,1613
10000,70,First,11771,20000,1088
10000,70,25%,9386,20000,1396
10000,70,Median,14033,20000,1351
10000,71,First,12073,20000,937
10000,71,25%,9140,20000,1445
10000,71,Median,13703,20000,1400
10000,72,First,11909,20000,1366
10000,72,25%,8827,20000,1458
10000,72,Median,13742,20000,1942
10000,73,First,12051,20000,927
10000,73,25%,9667,20000,1193
10000,73,Median,14989,20000,1189
10000,74,First,11821,20000,936
10000,74,25%,8766,20000,1824
10000,74,Median,14436,20000,1228
10000,75,First,11921,20000,829
10000,75,25%,8840,20000,1189
10000,75,Median,14603,20000,1207
10000,76,First,11979,20000,864
10000,76,25%,9089,20000,1201
10000,76,Median,14041,20000,1173
10000,77,First,12081,20000,836
10000,77,25%,9630,20000,1191
10000,77,Median,14392,20000,1376
10000,78,First,12119,20000,845
10000,78,25%,9474,20000,1205
10000,78,Median,13559,20000,1163
10000,79,First,12011,20000,830
10000,79,25%,8586,20000,1168
10000,79,Median,14083,20000,1189
10000,80,First,12301,20000,839
10000,80,25%,9412,20000,1169
10000,80,Median,14171,20000,1167
10000,81,First,11973,20000,832
10000,81,25%,9480,20000,1376
10000,81,Median,13977,20000,1202
10000,82,First,12169,20000,841
10000,82,25%,9053,20000,1182
10000,82,Median,13419,20000,1151
10000,83,First,11791,20000,827
10000,83,25%,9318,20000,1191
10000,83,Median,14053,20000,1170
10000,84,First,12171,20000,833
10000,84,25%,9175,20000,1203
10000,84,Median,14345,20000,1242
10000,85,First,11783,20000,824
10000,85,25%,8544,20000,1179
10000,85,Median,14344,20000,1170
10000,86,First,11871,20000,831
10000,86,25%,9442,20000,1214
10000,86,Median,13834,20000,1167
10000,87,First,11985,20000,830
10000,87,25%,8899,20000,1162
10000,87,Median,14021,20000,1165
10000,88,First,11875,20000,841
10000,88,25%,9181,20000,1964
10000,88,Median,14487,20000,1242
10000,89,First,11865,20000,849
10000,89,25%,9324,20000,1207
10000,89,Median,14347,20000,1178
10000,90,First,11727,20000,806
10000,90,25%,9524,20000,1159
10000,90,Median,13939,20000,1136
10000,91,First,11771,20000,806
10000,91,25%,9586,20000,1170
10000,91,Median,14180,20000,1152
10000,92,First,11597,20000,846
10000,92,25%,8995,20000,1323
10000,92,Median,13946,20000,1284
10000,93,First,12053,20000,938
10000,93,25%,9177,20000,1260
10000,93,Median,14296,20000,1326
10000,94,First,11963,20000,831
10000,94,25%,9297,20000,1243
10000,94,Median,13813,20000,1190
10000,95,First,12013,20000,858
10000,95,25%,8263,20000,1294
10000,95,Median,14314,20000,1262
10000,96,First,12011,20000,870
10000,96,25%,8376,20000,1181
10000,96,Median,14146,20000,1169
10000,97,First,11725,20000,821
10000,97,25%,9218,20000,1180
10000,97,Median,13324,20000,1183
10000,98,First,12089,20000,834
10000,98,25%,8636,20000,1165
10000,98,Median,13986,20000,1307
10000,99,First,11829,20000,1263
10000,99,25%,9121,20000,1471
10000,99,Median,13770,20000,1161
10000,100,First,11939,20000,823
10000,100,25%,8895,20000,1181
10000,100,Median,14081,20000,1207
10000,Average,First,12009.5,20000,863
10000,Average,25%,9042.97,20000,1254
10000,Average,Median,14001.1,20000,1237
20000,1,First,23197,40000,1623
20000,1,25%,16967,40000,2630
20000,1,Median,26601,40000,3084
20000,2,First,23493,40000,1654
20000,2,25%,17714,40000,2370
20000,2,Median,27100,40000,2336
20000,3,First,23555,40000,1736
20000,3,25%,15663,40000,2467
20000,3,Median,27242,40000,2413
20000,4,First,23519,40000,1666
20000,4,25%,16172,40000,2560
20000,4,Median,27226,40000,2387
20000,5,First,23573,40000,1743
20000,5,25%,17332,40000,2486
20000,5,Median,27363,40000,2462
20000,6,First,22947,40000,1642
20000,6,25%,16685,40000,2301
20000,6,Median,25839,40000,2315
20000,7,First,23359,40000,2118
20000,7,25%,16527,40000,2411
20000,7,Median,27021,40000,2415
20000,8,First,22947,40000,1724
20000,8,25%,17734,40000,2500
20000,8,Median,26347,40000,2310
20000,9,First,23315,40000,1824
20000,9,25%,17272,40000,2890
20000,9,Median,25906,40000,2561
20000,10,First,22877,40000,2346
20000,10,25%,16751,40000,2320
20000,10,Median,26999,40000,2940
20000,11,First,23455,40000,1657
20000,11,25%,16853,40000,2321
20000,11,Median,26945,40000,2301
20000,12,First,23081,40000,1591
20000,12,25%,16384,40000,2684
