ArraySize,Run,Kth,EmpiricalComparisons,ExpectedComparisons,RunningTime(us)
10000,60,First,18847,33860,136
10000,60,25%,28884,33860,594
10000,60,Median,27100,33860,420
10000,61,First,2,33860,8
10000,61,25%,43381,33860,520
10000,61,Median,24563,33860,449
10000,62,First,2,33860,9
10000,62,25%,34382,33860,598
10000,62,Median,30503,33860,301
10000,63,First,10000,33860,89
10000,63,25%,46643,33860,512
10000,63,Median,34039,33860,390
10000,64,First,17410,33860,174
10000,64,25%,22592,33860,246
10000,64,Median,15689,33860,168
10000,65,First,2,33860,8
10000,65,25%,56283,33860,974
10000,65,Median,27288,33860,358
10000,66,First,2,33860,9
10000,66,25%,44583,33860,668
10000,66,Median,42260,33860,454
10000,67,First,2,33860,8
10000,67,25%,41713,33860,512
10000,67,Median,28840,33860,284
10000,68,First,2,33860,8
10000,68,25%,44212,33860,702
10000,68,Median,25680,33860,366
10000,69,First,10001,33860,83
10000,69,25%,22454,33860,591
10000,69,Median,25589,33860,179
10000,70,First,2,33860,9
10000,70,25%,26072,33860,499
10000,70,Median,34474,33860,384
10000,71,First,14333,33860,128
10000,71,25%,18697,33860,424
10000,71,Median,24621,33860,342
10000,72,First,2,33860,17
10000,72,25%,33728,33860,576
10000,72,Median,42010,33860,446
10000,73,First,17960,33860,151
10000,73,25%,24488,33860,366
10000,73,Median,32081,33860,308
10000,74,First,2,33860,17
10000,74,25%,39664,33860,782
10000,74,Median,22981,33860,298
10000,75,First,2,33860,8
10000,75,25%,44629,33860,722
10000,75,Median,26934,33860,259
10000,76,First,2,33860,17
10000,76,25%,38105,33860,543
10000,76,Median,37266,33860,637
10000,77,First,10001,33860,94
10000,77,25%,40944,33860,853
10000,77,Median,39691,33860,426
10000,78,First,10000,33860,75
10000,78,25%,58307,33860,692
10000,78,Median,19426,33860,225
10000,79,First,16190,33860,143
10000,79,25%,21087,33860,375
10000,79,Median,38913,33860,428
10000,80,First,10001,33860,82
10000,80,25%,47756,33860,862
10000,80,Median,21791,33860,300
10000,81,First,10000,33860,93
10000,81,25%,48556,33860,661
10000,81,Median,23074,33860,257
10000,82,First,2,33860,17
10000,82,25%,32260,33860,543
10000,82,Median,39469,33860,472
10000,83,First,10001,33860,84
10000,83,25%,24288,33860,516
10000,83,Median,32536,33860,859
10000,84,First,10000,33860,86
10000,84,25%,29634,33860,514
10000,84,Median,26301,33860,539
10000,85,First,19932,33860,136
10000,85,25%,29232,33860,501
10000,85,Median,33938,33860,687
10000,86,First,2,33860,17
10000,86,25%,26721,33860,615
10000,86,Median,20870,33860,400
10000,87,First,2,33860,17
10000,87,25%,30764,33860,541
10000,87,Median,25298,33860,402
10000,88,First,2,33860,19
10000,88,25%,27678,33860,467
10000,88,Median,37716,33860,537
10000,89,First,18845,33860,182
10000,89,25%,34306,33860,411
10000,89,Median,20020,33860,263
10000,90,First,2,33860,16
10000,90,25%,47729,33860,940
10000,90,Median,47255,33860,577
10000,91,First,26850,33860,215
10000,91,25%,33897,33860,860
10000,91,Median,19855,33860,294
10000,92,First,2,33860,8
10000,92,25%,26417,33860,371
10000,92,Median,29189,33860,452
10000,93,First,10001,33860,86
10000,93,25%,28197,33860,483
10000,93,Median,30102,33860,338
10000,94,First,2,33860,9
10000,94,25%,22291,33860,475
10000,94,Median,39353,33860,645
10000,95,First,23158,33860,187
10000,95,25%,22430,33860,410
10000,95,Median,39808,33860,463
10000,96,First,3,33860,17
10000,96,25%,43478,33860,416
10000,96,Median,25582,33860,354
10000,97,First,10001,33860,109
10000,97,25%,38604,33860,570
10000,97,Median,22790,33860,408
10000,98,First,14842,33860,133
10000,98,25%,26067,33860,409
10000,98,Median,44504,33860,429
10000,99,First,2,33860,19
10000,99,25%,46268,33860,798
10000,99,Median,50541,33860,663
10000,100,First,10001,33860,81
10000,100,25%,33880,33860,597
10000,100,Median,30894,33860,635
10000,Average,First,7621.21,33860,68
10000,Average,25%,36077,33860,578
10000,Average,Median,30753.6,33860,403
20000,1,First,2,67720,10
20000,1,25%,70324,67720,843
20000,1,Median,32404,67720,212
20000,2,First,2,67720,10
20000,2,25%,33684,67720,425
20000,2,Median,88915,67720,1068
20000,3,First,2,67720,10
20000,3,25%,78204,67720,1377
20000,3,Median,42248,67720,428
20000,4,First,20001,67720,144
20000,4,25%,78600,67720,1106
20000,4,Median,63465,67720,445
20000,5,First,2,67720,19
20000,5,25%,60664,67720,883
20000,5,Median,77788,67720,849
20000,6,First,20000,67720,154
20000,6,25%,72871,67720,1075
20000,6,Median,93938,67720,1064
20000,7,First,2,67720,9
20000,7,25%,80608,67720,1215
20000,7,Median,57152,67720,875
20000,8,First,20001,67720,185
20000,8,25%,36953,67720,625
20000,8,Median,61664,67720,527
20000,9,First,2,67720,10
20000,9,25%,103095,67720,1104
20000,9,Median,49018,67720,482
20000,10,First,2,67720,9
20000,10,25%,54865,67720,1097
20000,10,Median,49427,67720,457
20000,11,First,2,67720,10
20000,11,25%,138681,67720,1423
20000,11,Median,69250,67720,406
20000,12,First,20002,67720,155
20000,12,25%,49549,67720,505
20000,12,Median,52183,67720,316
20000,13,First,3,67720,16
20000,13,25%,56675,67720,888
20000,13,Median,83134,67720,673
20000,14,First,2,67720,8
20000,14,25%,51140,67720,645
20000,14,Median,50760,67720,400
20000,15,First,2,67720,17
20000,15,25%,93101,67720,986
20000,15,Median,60299,67720,334
20000,16,First,2,67720,8
20000,16,25%,102940,67720,908
20000,16,Median,80308,67720,623
20000,17,First,35843,67720,273
20000,17,25%,45602,67720,377
20000,17,Median,49127,67720,396
20000,18,First,2,67720,8
20000,18,25%,71090,67720,938
20000,18,Median,62489,67720,473
20000,19,First,20000,67720,147
20000,19,25%,36799,67720,441
20000,19,Median,68456,67720,807
20000,20,First,2,67720,9
20000,20,25%,83631,67720,1076
20000,20,Median,35187,67720,339
20000,21,First,35662,67720,239
20000,21,25%,61801,67720,688
20000,21,Median,78825,67720,845
20000,22,First,20000,67720,140
20000,22,25%,71698,67720,721
20000,22,Median,104100,67720,905
20000,23,First,2,67720,8
20000,23,25%,84891,67720,944
20000,23,Median,61955,67720,523
20000,24,First,20001,67720,126
20000,24,25%,47378,67720,410
20000,24,Median,41184,67720,543
20000,25,First,34933,67720,244
20000,25,25%,89365,67720,688
20000,25,Median,65785,67720,514
20000,26,First,2,67720,16
20000,26,25%,55256,67720,622
20000,26,Median,67381,67720,503
20000,27,First,2,67720,17
20000,27,25%,74214,67720,849
20000,27,Median,68688,67720,525
20000,28,First,2,67720,8
20000,28,25%,62754,67720,799
20000,28,Median,69015,67720,600
20000,29,First,2,67720,8
20000,29,25%,91688,67720,1177
20000,29,Median,41087,67720,337
20000,30,First,38757,67720,243
20000,30,25%,47291,67720,696
20000,30,Median,61707,67720,669
20000,31,First,20001,67720,128
20000,31,25%,105482,67720,940
20000,31,Median,78216,67720,703
